team,symbol,trade_type,entry_date,exit_date,holding_days,qty,entry_price,exit_price,total_pl_usd,pct_return,trade_result,pct_portfolio,risk_level,hold_type
Wolverines With a Dartboard,XHLD,Short,2025-05-13,2025-05-14,1,60000,1.29,0.81,28800.0,37.21,Positive,7.74,Low-Risk,Short-Hold
Wolverines With a Dartboard,ICCT,Short,2025-05-13,2025-05-15,2,55253,2.8551,2.48,20724.6,13.14,Positive,15.7752,High-Risk,Short-Hold
Wolverines With a Dartboard,NKE,Long,2025-05-15,2025-05-15,0,218,60.64,62.05,307.38,2.33,Positive,1.322,Low-Risk,Short-Hold
Wolverines With a Dartboard,CSCO,Long,2025-05-15,2025-05-15,0,168,63.07,65.66,435.12,4.11,Positive,1.0596,Low-Risk,Short-Hold
Wolverines With a Dartboard,GRYP,Short,2025-05-15,2025-05-15,0,350000,1.1586,1.08,27500.0,6.78,Positive,40.55,High-Risk,Short-Hold
Wolverines With a Dartboard,KDLY,Short,2025-05-15,2025-05-15,0,5000,11.62,10.41,6050.0,10.41,Positive,5.81,Low-Risk,Short-Hold
Wolverines With a Dartboard,GRYP,Short,2025-05-15,2025-05-15,0,150000,1.11,1.18,-10500.0,-6.31,Negative,16.65,High-Risk,Short-Hold
Wolverines With a Dartboard,BMGL,Short,2025-05-15,2025-05-15,0,100000,3.23,2.98,25000.0,7.74,Positive,32.3,High-Risk,Short-Hold
Wolverines With a Dartboard,ELF,Long,2025-05-15,2025-05-15,0,121,75.5,77.67,262.57,2.87,Positive,0.9135,Low-Risk,Short-Hold
Wolverines With a Dartboard,ASST,Short,2025-05-15,2025-05-15,0,5000,5.75,5.69,300.0,1.04,Positive,2.875,Low-Risk,Short-Hold
Wolverines With a Dartboard,SYTA,Short,2025-05-15,2025-05-15,0,145000,1.3831,1.33,7700.0,3.84,Positive,20.055,High-Risk,Short-Hold
Wolverines With a Dartboard,IXHL,Short,2025-05-15,2025-05-15,0,80000,1.02,1.0,1600.0,1.96,Positive,8.16,High-Risk,Short-Hold
Wolverines With a Dartboard,WLDS,Short,2025-05-15,2025-05-15,0,130000,1.9569,1.9,7400.0,2.91,Positive,25.44,High-Risk,Short-Hold
Wolverines With a Dartboard,LUNR,Long,2025-05-15,2025-05-16,1,582,11.78,12.33,320.1,4.67,Positive,0.6856,Low-Risk,Short-Hold
Wolverines With a Dartboard,LCID,Long,2025-05-15,2025-05-16,1,3016,2.72,2.82,301.6,3.68,Positive,0.8204,Low-Risk,Short-Hold
Wolverines With a Dartboard,INZY,Short,2025-05-16,2025-05-16,0,20000,3.94,3.95,-200.0,-0.25,Negative,7.88,Low-Risk,Short-Hold
Wolverines With a Dartboard,SMR,Short,2025-05-13,2025-05-19,6,7516,20.64,23.2,-19240.96,-12.4,Negative,15.513,High-Risk,Long-Hold
Wolverines With a Dartboard,HOOD,Long,2025-05-15,2025-05-19,4,184,60.17,62.72,469.2,4.24,Positive,1.1071,Low-Risk,Short-Hold
Wolverines With a Dartboard,BA,Long,2025-05-14,2025-05-19,5,269,205.71,203.78,-519.17,-0.94,Negative,5.5336,Low-Risk,Short-Hold
Wolverines With a Dartboard,ADBE,Long,2025-05-15,2025-05-19,4,27,399.35,418.04,504.63,4.68,Positive,1.0782,Low-Risk,Short-Hold
Wolverines With a Dartboard,UAMY,Long,2025-05-12,2025-05-19,7,10000,2.71,2.74,300.0,1.11,Positive,2.71,Low-Risk,Long-Hold
Wolverines With a Dartboard,ABBV,Long,2025-05-15,2025-05-19,4,52,177.01,185.21,426.4,4.63,Positive,0.9205,Low-Risk,Short-Hold
Wolverines With a Dartboard,GLOB,Long,2025-05-19,2025-05-19,0,99,101.63,104.89,322.74,3.21,Positive,1.0061,Low-Risk,Short-Hold
Wolverines With a Dartboard,NSRGY,Long,2025-05-12,2025-05-19,7,143,102.59,104.81,317.46,2.16,Positive,1.467,Low-Risk,Long-Hold
Wolverines With a Dartboard,NWTN,Short,2025-05-19,2025-05-20,1,70000,2.4314,2.34,6400.0,3.76,Positive,17.02,High-Risk,Short-Hold
Wolverines With a Dartboard,PTIX,Short,2025-05-19,2025-05-20,1,4000,9.24,6.56,10720.0,29.0,Positive,3.696,Low-Risk,Short-Hold
Wolverines With a Dartboard,NVTS,Short,2025-05-22,2025-05-22,0,30986,4.43,4.33,3098.6,2.26,Positive,13.7268,High-Risk,Short-Hold
Wolverines With a Dartboard,TIL,Long,2025-05-22,2025-05-22,0,5000,23.07,23.58,2550.0,2.21,Positive,11.535,High-Risk,Short-Hold
Wolverines With a Dartboard,NVTS,Short,2025-05-22,2025-05-22,0,19014,4.43,4.1,6274.62,7.45,Positive,8.4232,High-Risk,Short-Hold
Wolverines With a Dartboard,RGLD,Long,2025-05-12,2025-05-23,11,172,176.0,180.85,834.2,2.76,Positive,3.0272,Low-Risk,Long-Hold
Wolverines With a Dartboard,TIL,Short,2025-05-22,2025-05-23,1,13500,23.57,20.52,41175.0,12.94,Positive,31.8195,High-Risk,Short-Hold
Wolverines With a Dartboard,RPAY,Short,2025-05-16,2025-05-23,7,125000,4.142,4.24,-12250.0,-2.37,Negative,51.775,High-Risk,Long-Hold
Wolverines With a Dartboard,TSLA,Long,2025-05-19,2025-05-27,8,500,339.74,352.42,6340.0,3.73,Positive,16.987,High-Risk,Long-Hold
Wolverines With a Dartboard,SBET,Short,2025-05-27,2025-05-27,0,5000,32.11,36.95,-24200.0,-15.07,Negative,16.055,High-Risk,Short-Hold
Wolverines With a Dartboard,WRD,Short,2025-05-27,2025-05-27,0,10000,10.74,10.39,3500.0,3.26,Positive,10.74,High-Risk,Short-Hold
Wolverines With a Dartboard,ZENA,Short,2025-05-27,2025-05-27,0,150000,3.12,2.86,39000.0,8.33,Positive,46.8,High-Risk,Short-Hold
Wolverines With a Dartboard,HOLO,Short,2025-05-28,2025-05-29,1,20000,7.28,6.76,10400.0,7.14,Positive,14.56,High-Risk,Short-Hold
Wolverines With a Dartboard,NVDA,Long,2025-05-16,2025-05-29,13,999,134.9,138.81,3906.09,2.9,Positive,13.4765,High-Risk,Long-Hold
Wolverines With a Dartboard,ACHR,Short,2025-05-13,2025-05-29,16,8012,10.53,10.5,240.36,0.28,Positive,8.4366,High-Risk,Long-Hold
Wolverines With a Dartboard,ARDX,Short,2025-05-16,2025-05-30,14,100000,3.815,3.71,10500.0,2.75,Positive,38.15,High-Risk,Long-Hold
Wolverines With a Dartboard,MTN,Short,2025-05-29,2025-06-04,6,100,162.13,155.37,676.0,4.17,Positive,1.6213,Low-Risk,Long-Hold
Wolverines With a Dartboard,MODV,Short,2025-06-05,2025-06-05,0,100000,4.14,4.05,9000.0,2.17,Positive,41.4,High-Risk,Short-Hold
Wolverines With a Dartboard,MODV,Short,2025-06-05,2025-06-05,0,261048,4.0372,3.9,35808.72,3.4,Positive,105.3896,High-Risk,Short-Hold
Wolverines With a Dartboard,AVGO,Long,2025-05-15,2025-06-05,21,39,230.12,263.04,1283.88,14.31,Positive,0.8975,Low-Risk,Long-Hold
Wolverines With a Dartboard,HYLN,Short,2025-05-28,2025-06-05,8,100000,1.59,1.52,7000.0,4.4,Positive,15.9,High-Risk,Long-Hold
Wolverines With a Dartboard,TNGX,Short,2025-06-06,2025-06-06,0,200000,4.28,4.15,26000.0,3.04,Positive,85.6,High-Risk,Short-Hold
Wolverines With a Dartboard,OMER,Long,2025-05-19,2025-06-06,18,5000,3.29,3.62,1650.0,10.03,Positive,1.645,Low-Risk,Long-Hold
Wolverines With a Dartboard,VS,Short,2025-06-06,2025-06-06,0,50000,2.26,2.26,0.0,0.0,Negative,11.3,High-Risk,Short-Hold
Wolverines With a Dartboard,PHAT,Short,2025-06-06,2025-06-06,0,20000,10.76,9.89,17400.0,8.09,Positive,21.52,High-Risk,Short-Hold
Wolverines With a Dartboard,BRLS,Short,2025-06-06,2025-06-09,3,70000,5.2314,4.94,20400.0,5.57,Positive,36.62,High-Risk,Short-Hold
Wolverines With a Dartboard,XOM,Long,2025-05-29,2025-06-25,27,800,102.28,108.42,4912.0,6.0,Positive,8.1824,High-Risk,Long-Hold
Wolverines With a Dartboard,F,Long,2025-06-13,2025-07-10,27,3000,10.47,11.88,4230.0,13.47,Positive,3.141,Low-Risk,Long-Hold
Wolverines With a Dartboard,XOM,Long,2025-06-25,2025-07-10,15,1000,109.15,113.71,4560.0,4.18,Positive,10.915,High-Risk,Long-Hold
Wolverines With a Dartboard,AMC,Long,2025-06-13,2025-07-14,31,5000,3.18,3.31,650.0,4.09,Positive,1.59,Low-Risk,Long-Hold
Wolverines With a Dartboard,HSY,Long,2025-05-12,2025-07-14,63,93,170.56,165.24,-494.76,-3.12,Negative,1.5862,Low-Risk,Long-Hold
Wolverines With a Dartboard,SXTC,Short,2025-06-06,2025-07-24,48,800000,1.8925,1.69,162000.0,10.7,Positive,151.4,High-Risk,Long-Hold
Wolverines With a Dartboard,WMT,Long,2025-05-12,2025-07-24,79,30,97.71,96.5,-36.3,-1.24,Negative,0.2931,Low-Risk,Long-Hold
Wolverines With a Dartboard,BRK.B,Long,2025-05-12,2025-07-24,79,30,520.3,483.97,-1089.9,-6.98,Negative,1.5609,Low-Risk,Long-Hold
Wolverines With a Dartboard,KO,Long,2025-05-12,2025-07-24,79,200,70.33,69.24,-218.0,-1.55,Negative,1.4066,Low-Risk,Long-Hold
Wolverines With a Dartboard,GM,Long,2025-05-12,2025-07-24,79,369,49.53,52.67,1158.66,6.34,Positive,1.8277,Low-Risk,Long-Hold
Wolverines With a Dartboard,COST,Long,2025-05-12,2025-07-24,79,30,1009.79,937.45,-2170.2,-7.16,Negative,3.0294,Low-Risk,Long-Hold
Wolverines With a Dartboard,GNW,Long,2025-05-12,2025-07-24,79,2059,7.23,7.36,267.67,1.8,Positive,1.4887,Low-Risk,Long-Hold
Wolverines With a Dartboard,DUOL,Long,2025-05-12,2025-07-24,79,39,533.26,359.99,-6757.53,-32.49,Negative,2.0797,Low-Risk,Long-Hold
Wolverines With a Dartboard,LYFT,Long,2025-05-12,2025-07-24,79,2389,17.07,14.49,-6163.62,-15.11,Negative,4.078,Low-Risk,Long-Hold
Wolverines With a Dartboard,EXFY,Long,2025-05-12,2025-07-24,79,8435,2.45,2.26,-1602.65,-7.76,Negative,2.0666,Low-Risk,Long-Hold
Wolverines With a Dartboard,PG,Long,2025-05-27,2025-07-24,64,100,167.17,158.5,-867.0,-5.19,Negative,1.6717,Low-Risk,Long-Hold
Wolverines With a Dartboard,BMWKY,Long,2025-05-12,2025-07-24,79,690,31.03,33.95,2014.8,9.41,Positive,2.1411,Low-Risk,Long-Hold
Wolverines With a Dartboard,HLT,Long,2025-05-15,2025-07-24,76,42,252.03,268.29,682.92,6.45,Positive,1.0585,Low-Risk,Long-Hold
Wolverines With a Dartboard,ELF,Long,2025-05-29,2025-07-24,62,200,113.43,118.29,972.0,4.28,Positive,2.2686,Low-Risk,Long-Hold
Wolverines With a Dartboard,JPM,Long,2025-05-15,2025-07-24,76,21,266.97,298.59,664.02,11.84,Positive,0.5606,Low-Risk,Long-Hold
Wolverines With a Dartboard,META,Long,2025-05-15,2025-07-24,76,5,654.3,715.84,307.7,9.41,Positive,0.3271,Low-Risk,Long-Hold
Wolverines With a Dartboard,MA,Long,2025-05-15,2025-07-24,76,10,574.13,565.86,-82.7,-1.44,Negative,0.5741,Low-Risk,Long-Hold
Wolverines With a Dartboard,PLTR,Long,2025-05-15,2025-07-24,76,55,128.43,154.72,1445.95,20.47,Positive,0.7064,Low-Risk,Long-Hold
Wolverines With a Dartboard,DKS,Long,2025-05-15,2025-07-24,76,48,182.78,212.77,1439.52,16.41,Positive,0.8773,Low-Risk,Long-Hold
Wolverines With a Dartboard,AMZN,Long,2025-05-15,2025-07-24,76,118,206.45,232.21,3039.68,12.48,Positive,2.4361,Low-Risk,Long-Hold
Wolverines With a Dartboard,SHOP,Long,2025-05-15,2025-07-24,76,53,109.93,121.74,625.93,10.74,Positive,0.5826,Low-Risk,Long-Hold
Wolverines With a Dartboard,TSLA,Long,2025-06-25,2025-07-24,35,500,326.05,305.41,-10320.0,-6.33,Negative,16.3025,High-Risk,Long-Hold
Wolverines With a Dartboard,TSLA,Long,2025-07-08,2025-07-24,22,100,301.99,305.41,342.0,1.13,Positive,3.0199,Low-Risk,Long-Hold
Wolverines With a Dartboard,TSLA,Long,2025-07-24,2025-07-24,6,5,301.56,305.41,19.25,1.28,Positive,0.1508,Low-Risk,Long-Hold
Wolverines With a Dartboard,AAPL,Long,2025-05-19,2025-07-24,72,350,206.88,214.81,2775.5,3.83,Positive,7.2408,Low-Risk,Long-Hold
Wolverines With a Dartboard,TVTX,Long,2025-05-19,2025-07-24,72,500,16.6,15.8,-400.0,-4.82,Negative,0.83,Low-Risk,Long-Hold
Wolverines With a Dartboard,BSX,Long,2025-05-23,2025-07-24,68,100,104.73,105.89,116.0,1.11,Positive,1.0473,Low-Risk,Long-Hold
Wolverines With a Dartboard,PYPL,Long,2025-05-23,2025-07-24,68,100,70.06,78.26,820.0,11.7,Positive,0.7006,Low-Risk,Long-Hold
Wolverines With a Dartboard,MMM,Long,2025-05-27,2025-07-24,64,500,148.7,150.39,845.0,1.14,Positive,7.435,Low-Risk,Long-Hold
Wolverines With a Dartboard,JNJ,Long,2025-05-27,2025-07-24,64,150,152.64,169.41,2515.5,10.99,Positive,2.2896,Low-Risk,Long-Hold
Wolverines With a Dartboard,DIS,Long,2025-05-29,2025-07-24,62,100,111.55,122.15,1060.0,9.5,Positive,1.1155,Low-Risk,Long-Hold
Wolverines With a Dartboard,GOOG,Long,2025-05-29,2025-07-24,62,100,173.31,194.11,2080.0,12.0,Positive,1.7331,Low-Risk,Long-Hold
Wolverines With a Dartboard,ANF,Long,2025-05-29,2025-07-24,62,900,82.99,94.43,10296.0,13.78,Positive,7.4691,Low-Risk,Long-Hold
Wolverines With a Dartboard,SMMT,Long,2025-06-04,2025-07-24,56,503,20.29,27.55,3651.78,35.78,Positive,1.0206,Low-Risk,Long-Hold
Wolverines With a Dartboard,HALO,Long,2025-06-04,2025-07-24,56,189,53.84,58.78,933.66,9.18,Positive,1.0176,Low-Risk,Long-Hold
Wolverines With a Dartboard,AMD,Long,2025-06-04,2025-07-24,56,622,118.91,162.11,26870.4,36.33,Positive,7.3962,Low-Risk,Long-Hold
Wolverines With a Dartboard,SSII,Long,2025-06-04,2025-07-24,56,2438,5.6,7.17,3827.66,28.04,Positive,1.3653,Low-Risk,Long-Hold
Wolverines With a Dartboard,AOSL,Long,2025-06-04,2025-07-24,56,407,23.55,27.43,1579.16,16.48,Positive,0.9585,Low-Risk,Long-Hold
Wolverines With a Dartboard,CRVS,Long,2025-06-11,2025-07-24,49,12155,4.5,4.76,3160.3,5.78,Positive,5.4698,Low-Risk,Long-Hold
Wolverines With a Dartboard,GT,Long,2025-06-13,2025-07-24,47,5000,11.04,11.38,1700.0,3.08,Positive,5.52,Low-Risk,Long-Hold
Wolverines With a Dartboard,GRAB,Long,2025-06-13,2025-07-24,47,2000,4.61,5.3,1380.0,14.97,Positive,0.922,Low-Risk,Long-Hold
Wolverines With a Dartboard,MU,Long,2025-06-26,2025-07-24,34,500,124.11,112.04,-6035.0,-9.73,Negative,6.2055,Low-Risk,Long-Hold
Wolverines With a Dartboard,FDX,Long,2025-06-26,2025-07-24,34,100,221.56,237.61,1605.0,7.24,Positive,2.2156,Low-Risk,Long-Hold
Wolverines With a Dartboard,SNOW,Long,2025-06-26,2025-07-24,34,200,221.05,213.71,-1468.0,-3.32,Negative,4.421,Low-Risk,Long-Hold
Wolverines With a Dartboard,BAC,Long,2025-07-08,2025-07-24,22,1000,47.16,48.84,1680.0,3.56,Positive,4.716,Low-Risk,Long-Hold
Wolverines With a Dartboard,KMI,Long,2025-07-08,2025-07-24,22,500,27.82,27.09,-365.0,-2.62,Negative,1.391,Low-Risk,Long-Hold
Wolverines With a Dartboard,LMT,Long,2025-07-08,2025-07-24,22,100,463.11,425.01,-3810.0,-8.23,Negative,4.6311,Low-Risk,Long-Hold
Wolverines With a Dartboard,DELL,Short,2025-05-12,2025-07-24,79,839,101.28,128.88,-23156.4,-27.25,Negative,8.4974,High-Risk,Long-Hold
Wolverines With a Dartboard,UNH,Short,2025-07-24,2025-07-24,6,5,280.0,281.41,-7.05,-0.5,Negative,0.14,Low-Risk,Long-Hold
Wolverines With a Dartboard,LIDR,Short,2025-07-24,2025-07-24,6,107089,2.86,2.94,-8567.12,-2.8,Negative,30.6275,High-Risk,Long-Hold
ABCS FIN,BRK.B,Long,2025-05-13,2025-05-19,6,58,514.98,511.18,-220.4,-0.74,Negative,2.9869,Low-Risk,Long-Hold
ABCS FIN,HD,Long,2025-05-13,2025-05-19,6,79,380.98,378.73,-177.75,-0.59,Negative,3.0097,Low-Risk,Long-Hold
ABCS FIN,VZ,Long,2025-05-13,2025-05-19,6,465,43.21,44.02,376.65,1.87,Positive,2.0093,Low-Risk,Long-Hold
ABCS FIN,AAPL,Long,2025-05-13,2025-05-23,10,166,210.43,195.65,-2453.48,-7.02,Negative,3.4931,Low-Risk,Long-Hold
ABCS FIN,COP,Long,2025-05-13,2025-05-23,10,270,92.72,85.63,-1914.3,-7.65,Negative,2.5034,Low-Risk,Long-Hold
ABCS FIN,ASTS,Long,2025-05-13,2025-05-27,14,401,25.7543,24.88,-350.61,-3.39,Negative,1.0327,Low-Risk,Long-Hold
ABCS FIN,WIX,Long,2025-05-13,2025-05-30,17,139,179.82,150.12,-4128.3,-16.52,Negative,2.4995,Low-Risk,Long-Hold
ABCS FIN,QBTS,Long,2025-05-19,2025-05-30,11,1600,13.16,15.66,4000.0,19.0,Positive,2.1056,Low-Risk,Long-Hold
ABCS FIN,BMGL,Long,2025-05-30,2025-06-02,3,2500,1.99,7.84,14625.0,293.97,Positive,0.4975,Low-Risk,Short-Hold
ABCS FIN,SHY,Long,2025-05-13,2025-06-04,22,299,82.39,82.43,11.96,0.05,Positive,2.4635,Low-Risk,Long-Hold
ABCS FIN,GGAL,Long,2025-05-13,2025-06-06,24,486,62.06,55.05,-3406.86,-11.3,Negative,3.0161,Low-Risk,Long-Hold
ABCS FIN,EXOD,Long,2025-05-27,2025-06-06,10,735,35.04,26.34,-6394.5,-24.83,Negative,2.5754,Low-Risk,Long-Hold
ABCS FIN,ASTS,Short,2025-06-06,2025-06-09,3,350,31.01,35.98,-1739.5,-16.03,Negative,1.0854,Low-Risk,Short-Hold
ABCS FIN,KSS,Long,2025-06-04,2025-06-13,9,997,8.17,8.49,319.04,3.92,Positive,0.8145,Low-Risk,Long-Hold
ABCS FIN,LUCY,Long,2025-06-04,2025-06-13,9,4000,3.11,2.53,-2320.0,-18.65,Negative,1.244,Low-Risk,Long-Hold
ABCS FIN,GME,Long,2025-05-27,2025-06-20,24,303,33.92,23.52,-3151.2,-30.66,Negative,1.0278,Low-Risk,Long-Hold
ABCS FIN,ACN,Long,2025-05-13,2025-06-30,48,77,321.8,298.06,-1827.98,-7.38,Negative,2.4779,Low-Risk,Long-Hold
ABCS FIN,MCD,Long,2025-05-13,2025-06-30,48,64,311.34,292.01,-1237.12,-6.21,Negative,1.9926,Low-Risk,Long-Hold
ABCS FIN,BMGL,Long,2025-05-30,2025-07-01,32,8916,2.7773,1.66,-9962.28,-40.23,Negative,2.4763,Low-Risk,Long-Hold
ABCS FIN,O,Long,2025-05-13,2025-07-11,59,536,55.88,56.77,477.04,1.59,Positive,2.9952,Low-Risk,Long-Hold
ABCS FIN,NVO,Long,2025-07-01,2025-07-18,17,431,69.72,65.66,-1749.86,-5.82,Negative,3.0049,Low-Risk,Long-Hold
ABCS FIN,QCOM,Long,2025-07-11,2025-07-18,7,188,159.17,153.04,-1152.44,-3.85,Negative,2.9924,Low-Risk,Long-Hold
ABCS FIN,COST,Long,2025-05-12,2025-07-24,79,30,1009.79,933.8,-2279.7,-7.53,Negative,3.0294,Low-Risk,Long-Hold
ABCS FIN,WMT,Long,2025-05-12,2025-07-24,79,324,97.71,96.6,-359.64,-1.14,Negative,3.1658,Low-Risk,Long-Hold
ABCS FIN,SO,Long,2025-05-13,2025-07-24,78,284,87.79,95.0,2047.64,8.21,Positive,2.4932,Low-Risk,Long-Hold
ABCS FIN,JBL,Long,2025-05-13,2025-07-24,78,62,162.3,218.41,3478.82,34.57,Positive,1.0063,Low-Risk,Long-Hold
ABCS FIN,FLEX,Long,2025-05-13,2025-07-24,78,244,41.11,49.67,2088.64,20.82,Positive,1.0031,Low-Risk,Long-Hold
ABCS FIN,ASTS,Long,2025-05-23,2025-07-24,68,1656,24.13,60.06,59500.08,148.9,Positive,3.9959,Low-Risk,Long-Hold
ABCS FIN,GOOGL,Long,2025-05-13,2025-07-24,78,221,158.77,192.17,7381.4,21.04,Positive,3.5088,Low-Risk,Long-Hold
ABCS FIN,MSFT,Long,2025-05-13,2025-07-24,78,78,447.99,510.88,4905.42,14.04,Positive,3.4943,Low-Risk,Long-Hold
ABCS FIN,AMD,Long,2025-05-13,2025-07-24,78,185,109.6,162.12,9716.2,47.92,Positive,2.0276,Low-Risk,Long-Hold
ABCS FIN,ANET,Long,2025-05-13,2025-07-24,78,216,92.26,114.04,4704.48,23.61,Positive,1.9928,Low-Risk,Long-Hold
ABCS FIN,TMUS,Long,2025-05-13,2025-07-24,78,83,239.26,247.5,683.92,3.44,Positive,1.9859,Low-Risk,Long-Hold
ABCS FIN,AMZN,Long,2025-05-13,2025-07-24,78,167,211.08,232.23,3532.05,10.02,Positive,3.525,Low-Risk,Long-Hold
ABCS FIN,KO,Long,2025-05-13,2025-07-24,78,359,69.6,69.1,-179.5,-0.72,Negative,2.4986,Low-Risk,Long-Hold
ABCS FIN,SBUX,Long,2025-05-13,2025-07-24,78,233,85.87,93.7,1824.39,9.12,Positive,2.0008,Low-Risk,Long-Hold
ABCS FIN,WBD,Long,2025-05-13,2025-07-24,78,1625,9.25,13.5,6906.25,45.95,Positive,1.5031,Low-Risk,Long-Hold
ABCS FIN,DUK,Long,2025-05-13,2025-07-24,78,215,115.96,119.75,814.85,3.27,Positive,2.4931,Low-Risk,Long-Hold
ABCS FIN,CSCO,Long,2025-05-13,2025-07-24,78,324,61.68,68.29,2141.64,10.72,Positive,1.9984,Low-Risk,Long-Hold
ABCS FIN,CWEN,Long,2025-05-13,2025-07-24,78,700,28.52,31.78,2282.0,11.43,Positive,1.9964,Low-Risk,Long-Hold
ABCS FIN,USEG,Long,2025-05-13,2025-07-24,78,9345,1.08,1.22,1308.3,12.96,Positive,1.0093,Low-Risk,Long-Hold
ABCS FIN,KLXE,Long,2025-05-13,2025-07-24,78,5076,2.01,1.97,-203.04,-1.99,Negative,1.0203,Low-Risk,Long-Hold
ABCS FIN,GLD,Long,2025-05-13,2025-07-24,78,100,298.99,310.3,1131.0,3.78,Positive,2.9899,Low-Risk,Long-Hold
ABCS FIN,WFC,Long,2025-05-13,2025-07-24,78,267,75.47,83.87,2242.8,11.13,Positive,2.015,Low-Risk,Long-Hold
ABCS FIN,C,Long,2025-05-13,2025-07-24,78,333,75.13,95.39,6746.58,26.97,Positive,2.5018,Low-Risk,Long-Hold
ABCS FIN,FBTC,Long,2025-05-13,2025-07-24,78,224,90.59,103.95,2992.64,14.75,Positive,2.0292,Low-Risk,Long-Hold
ABCS FIN,PAAS,Long,2025-05-13,2025-07-24,78,1095,23.21,29.27,6635.7,26.11,Positive,2.5415,Low-Risk,Long-Hold
ABCS FIN,SHY,Long,2025-05-13,2025-07-24,78,308,82.39,82.5,33.88,0.13,Positive,2.5376,Low-Risk,Long-Hold
ABCS FIN,FTNT,Long,2025-05-13,2025-07-24,78,245,101.49,104.77,803.6,3.23,Positive,2.4865,Low-Risk,Long-Hold
ABCS FIN,ETR,Long,2025-05-13,2025-07-24,78,246,81.26,88.15,1694.94,8.48,Positive,1.999,Low-Risk,Long-Hold
ABCS FIN,NRT,Long,2025-05-13,2025-07-24,78,2049,4.82,5.14,655.68,6.64,Positive,0.9876,Low-Risk,Long-Hold
ABCS FIN,ACLS,Long,2025-05-19,2025-07-24,72,340,60.91,72.85,4059.6,19.6,Positive,2.0709,Low-Risk,Long-Hold
ABCS FIN,BBAI,Long,2025-05-19,2025-07-24,72,5500,3.68,7.8,22660.0,111.96,Positive,2.024,Low-Risk,Long-Hold
ABCS FIN,GCT,Long,2025-05-19,2025-07-24,72,1101,18.51,24.01,6055.5,29.71,Positive,2.038,Low-Risk,Long-Hold
ABCS FIN,MTZ,Long,2025-05-27,2025-07-24,64,90,153.56,181.75,2537.1,18.36,Positive,1.382,Low-Risk,Long-Hold
